# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 2)   1.391 us    |  mutex_unlock();
 3)   3.090 us    |  }
 3)               |  do_syscall_64() {
 3)   0.417 us    |    mutex_lock();
 3)               |  /* mutex_stop */
 3)   0.411 us    |    mutex_unlock();
 3)   3.210 us    |  }
 3)               |  do_syscall_64() {
 3)   0.417 us    |    mutex_lock();
 3)               |  /* mutex_start */
 3)   0.411 us    |    mutex_unlock();
 3)   3.210 us    |  }
 3)               |  do_syscall_64() {
 3)   0.417 us    |    mutex_lock();
 3)               |  /* mutex_stop */
 3)   0.411 us    |    mutex_unlock();
 3)   3.108 us    |  }
 3)               |  do_syscall_64() {
 3)   0.420 us    |    mutex_lock();
 3)               |  /* mutex_start */
 3)   0.414 us    |    mutex_unlock();
 3)   3.090 us    |  }
 3)               |  do_syscall_64() {
 3)   0.420 us    |    mutex_lock();
 3)               |  /* mutex_stop */
 3)   0.411 us    |    mutex_unlock();
 3)   3.201 us    |  }
 3)               |  do_syscall_64() {
 3)   0.417 us    |    mutex_lock();
 3)               |  /* mutex_start */
 3)   0.408 us    |    mutex_unlock();
 3)   3.213 us    |  }
 3)               |  do_syscall_64() {
 3)   0.417 us    |    mutex_lock();
 3)               |  /* mutex_stop */
 3)   0.414 us    |    mutex_unlock();
 3)   3.099 us    |  }
 3)               |  do_syscall_64() {
 3)   0.420 us    |    mutex_lock();
 3)               |  /* mutex_start */
 3)   0.414 us    |    mutex_unlock();
 3)   3.444 us    |  }
 3)               |  do_syscall_64() {
 3)   0.420 us    |    mutex_lock();
 0)   0.855 us    |          drop_futex_key_refs.isra.0();
 3)               |  /* mutex_stop */
 0) * 35955.72 us |        }
 3)   0.411 us    |    mutex_unlock();
 0) * 35956.72 us |      }
 0) * 35957.67 us |    }
 3)   3.108 us    |  }
 0) * 35959.18 us |  }
 3)               |  do_syscall_64() {
 3)   0.420 us    |    mutex_lock();
 0)               |  do_syscall_64() {
 3)               |  /* mutex_start */
 0)               |    __x64_sys_futex() {
 3)   0.414 us    |    mutex_unlock();
 0)               |      do_futex() {
 0)               |        futex_wake() {
 3)   3.198 us    |  }
 0)               |          get_futex_key() {
 0)   0.414 us    |            get_futex_key_refs.isra.0();
 0)   1.329 us    |          }
 3)               |  do_syscall_64() {
 0)   0.441 us    |          hash_futex();
 3)   0.420 us    |    mutex_lock();
 3)               |  /* mutex_stop */
 0)               |          mark_wake_futex() {
 0)   0.492 us    |            __unqueue_futex();
 3)   0.417 us    |    mutex_unlock();
 0)   1.410 us    |          }
 3)   3.221 us    |  }
 3)               |  do_syscall_64() {
 3)   0.420 us    |    mutex_lock();
 3)               |  /* mutex_start */
 3)   0.420 us    |    mutex_unlock();
 3)   3.219 us    |  }
 3)               |  do_syscall_64() {
 3)   0.420 us    |    mutex_lock();
 3)               |  /* mutex_stop */
 0)   0.795 us    |          drop_futex_key_refs.isra.0();
 3)   0.414 us    |    mutex_unlock();
 0) + 14.148 us   |        }
 3)   3.108 us    |  }
 0) + 15.024 us   |      }
 0) + 15.984 us   |    }
 0) + 17.202 us   |  }
 3)               |  do_syscall_64() {
 3)   0.420 us    |    mutex_lock();
 0)               |  do_syscall_64() {
 3)               |  /* mutex_start */
 0)               |    __x64_sys_futex() {
 0)               |      do_futex() {
 3)   0.414 us    |    mutex_unlock();
 0)               |        futex_wake() {
 0)               |          get_futex_key() {
 3)   3.114 us    |  }
 0)   0.408 us    |            get_futex_key_refs.isra.0();
 0)   1.233 us    |          }
 0)   0.522 us    |          hash_futex();
 3)               |  do_syscall_64() {
 3)   0.420 us    |    mutex_lock();
 0)   0.411 us    |          drop_futex_key_refs.isra.0();
 3)               |  /* mutex_stop */
 0)   3.885 us    |        }
 0)   4.682 us    |      }
 3)   0.414 us    |    mutex_unlock();
 0)   5.570 us    |    }
 0)   6.674 us    |  }
 3)   3.213 us    |  }
 3)               |  do_syscall_64() {
 3)   0.420 us    |    mutex_lock();
 0)               |  do_syscall_64() {
 3)               |  /* mutex_start */
 3)   0.411 us    |    mutex_unlock();
 0)   0.591 us    |    mutex_lock();
 3)   3.348 us    |  }
 0)               |  /* mutex_start */
 3)               |  do_syscall_64() {
 3)               |    mutex_lock() {
 0)   0.495 us    |    mutex_unlock();
 3)               |      __mutex_lock_slowpath() {
 3)   0.551 us    |        __mutex_lock.isra.0();
 0)   6.009 us    |  }
 3)   1.379 us    |      }
 3)   2.294 us    |    }
 3)               |  /* mutex_stop */
 3)   0.417 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 3)   5.057 us    |  }
 0)   0.417 us    |    mutex_lock();
 0)               |  /* mutex_stop */
 3)               |  do_syscall_64() {
 0)   0.411 us    |    mutex_unlock();
 3)   0.453 us    |    mutex_lock();
 0)   3.384 us    |  }
 3)               |  /* mutex_start */
 3)   0.414 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 3)   3.210 us    |  }
 0)   0.417 us    |    mutex_lock();
 0)               |  /* mutex_start */
 0)   0.408 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 3)   0.420 us    |    mutex_lock();
 0)   3.228 us    |  }
 3)               |  /* mutex_stop */
 3)   0.414 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 3)   3.252 us    |  }
 0)   0.417 us    |    mutex_lock();
 0)               |  /* mutex_stop */
 3)               |  do_syscall_64() {
 0)   0.438 us    |    mutex_unlock();
 3)   0.456 us    |    mutex_lock();
 0)   3.431 us    |  }
 3)               |  /* mutex_start */
 3)   0.414 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 3)   3.324 us    |  }
 0)   0.420 us    |    mutex_lock();
 0)               |  /* mutex_start */
 3)               |  do_syscall_64() {
 0)   0.414 us    |    mutex_unlock();
 3)   0.444 us    |    mutex_lock();
 0)   3.318 us    |  }
 3)               |  /* mutex_stop */
 3)   0.417 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 3)   3.198 us    |  }
 0)   0.417 us    |    mutex_lock();
 0)               |  /* mutex_stop */
 3)               |  do_syscall_64() {
 0)   0.438 us    |    mutex_unlock();
 3)   0.459 us    |    mutex_lock();
 0)   3.198 us    |  }
 3)               |  /* mutex_start */
 3)   0.414 us    |    mutex_unlock();
 3)   3.228 us    |  }
 0)               |  do_syscall_64() {
 0)   0.459 us    |    mutex_lock();
 3)               |  do_syscall_64() {
 0)               |  /* mutex_start */
 3)               |    mutex_lock() {
 0)   0.450 us    |    mutex_unlock();
 3)               |      __mutex_lock_slowpath() {
 3)   0.504 us    |        __mutex_lock.isra.0();
 0)   4.107 us    |  }
 3)   1.563 us    |      }
 3)   2.562 us    |    }
 3)               |  /* mutex_stop */
 0)               |  do_syscall_64() {
 0)               |    mutex_lock() {
 3)   0.453 us    |    mutex_unlock();
 0)               |      __mutex_lock_slowpath() {
 0)   0.561 us    |        __mutex_lock.isra.0();
 3)   5.670 us    |  }
 0)   1.389 us    |      }
 0)   2.280 us    |    }
 3)               |  do_syscall_64() {
 0)               |  /* mutex_stop */
 3)               |    mutex_lock() {
 0)   0.453 us    |    mutex_unlock();
 3)               |      __mutex_lock_slowpath() {
 3)   0.555 us    |        __mutex_lock.isra.0();
 0)   5.289 us    |  }
 3)   1.326 us    |      }
 3)   2.220 us    |    }
 0)               |  do_syscall_64() {
 3)               |  /* mutex_start */
 0)               |    mutex_lock() {
 3)   0.450 us    |    mutex_unlock();
 0)               |      __mutex_lock_slowpath() {
 0)   0.459 us    |        __mutex_lock.isra.0();
 3)   5.289 us    |  }
 0)   1.245 us    |      }
 0)   2.102 us    |    }
 0)               |  /* mutex_start */
 3)               |  do_syscall_64() {
 0)   0.441 us    |    mutex_unlock();
 3)   0.498 us    |    mutex_lock();
 0)   4.994 us    |  }
 3)               |  /* mutex_stop */
 3)   0.417 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 3)   3.300 us    |  }
 0)   0.447 us    |    mutex_lock();
 0)               |  /* mutex_stop */
 3)               |  do_syscall_64() {
 0)   0.432 us    |    mutex_unlock();
 3)   0.456 us    |    mutex_lock();
 0)   3.390 us    |  }
 3)               |  /* mutex_start */
 3)   0.417 us    |    mutex_unlock();
 3)   3.327 us    |  }
 0)               |  do_syscall_64() {
 0)   0.420 us    |    mutex_lock();
 0)               |  /* mutex_start */
 3)               |  do_syscall_64() {
 0)   0.435 us    |    mutex_unlock();
 3)   0.453 us    |    mutex_lock();
 0)   3.312 us    |  }
 3)               |  /* mutex_stop */
 3)   0.414 us    |    mutex_unlock();
 3)   3.342 us    |  }
 0)               |  do_syscall_64() {
 0)   0.420 us    |    mutex_lock();
 0)               |  /* mutex_stop */
 3)               |  do_syscall_64() {
 0)   0.435 us    |    mutex_unlock();
 3)   0.456 us    |    mutex_lock();
 0)   3.210 us    |  }
 3)               |  /* mutex_start */
 3)   0.414 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 3)   3.330 us    |  }
 0)   0.423 us    |    mutex_lock();
 0)               |  /* mutex_start */
 3)               |  do_syscall_64() {
 1)   0.840 us    |          drop_futex_key_refs.isra.0();
 0)   0.435 us    |    mutex_unlock();
 3)   0.459 us    |    mutex_lock();
 1) * 16118.81 us |        }
 0)   3.177 us    |  }
 1) * 16119.72 us |      }
 3)               |  /* mutex_stop */
 1) * 16120.75 us |    }
 3)   0.420 us    |    mutex_unlock();
 1) * 16122.26 us |  }
 0)               |  do_syscall_64() {
 3)   3.204 us    |  }
 0)   0.420 us    |    mutex_lock();
 0)               |  /* mutex_stop */
 3)               |  do_syscall_64() {
 0)   0.438 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 3)   0.459 us    |    mutex_lock();
 1)               |    __x64_sys_futex() {
 0)   3.297 us    |  }
 3)               |  /* mutex_start */
 1)               |      do_futex() {
 1)               |        futex_wake() {
 3)   0.414 us    |    mutex_unlock();
 1)               |          get_futex_key() {
 3)   3.219 us    |  }
 0)               |  do_syscall_64() {
 1)   0.414 us    |            get_futex_key_refs.isra.0();
 0)   0.420 us    |    mutex_lock();
 1)   1.332 us    |          }
 1)   0.534 us    |          hash_futex();
 0)               |  /* mutex_start */
 3)               |  do_syscall_64() {
 0)   0.438 us    |    mutex_unlock();
 1)   0.408 us    |          drop_futex_key_refs.isra.0();
 3)   0.456 us    |    mutex_lock();
 1)   3.978 us    |        }
 0)   3.299 us    |  }
 3)               |  /* mutex_stop */
 1)   4.857 us    |      }
 1)   5.850 us    |    }
 3)   0.411 us    |    mutex_unlock();
 1)   7.128 us    |  }
 0)               |  do_syscall_64() {
 3)   3.315 us    |  }
 0)   0.420 us    |    mutex_lock();
 0)               |  /* mutex_stop */
 3)               |  do_syscall_64() {
 0)   0.438 us    |    mutex_unlock();
 3)   0.456 us    |    mutex_lock();
 1)               |  do_syscall_64() {
 0)   3.207 us    |  }
 3)               |  /* mutex_start */
 1)               |    mutex_lock() {
 3)   0.450 us    |    mutex_unlock();
 1)               |      __mutex_lock_slowpath() {
 0)               |  do_syscall_64() {
 1)   0.546 us    |        __mutex_lock.isra.0();
 3)   3.396 us    |  }
 0)               |    mutex_lock() {
 1)   1.389 us    |      }
 0)               |      __mutex_lock_slowpath() {
 1)   2.301 us    |    }
 0)               |        __mutex_lock.isra.0() {
 3)               |  do_syscall_64() {
 0)   2.580 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 3)               |    mutex_lock() {
 3)               |      __mutex_lock_slowpath() {
 3)               |        __mutex_lock.isra.0() {
 1)   0.473 us    |    mutex_unlock();
 0)   3.945 us    |        }
 1)   7.775 us    |  }
 3)   2.196 us    |          mutex_spin_on_owner();
 0)   4.728 us    |      }
 0)   5.577 us    |    }
 0)               |  /* mutex_start */
 0)   0.438 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 0)   8.418 us    |  }
 1)               |    mutex_lock() {
 3)   4.778 us    |        }
 3)   5.558 us    |      }
 1)               |      __mutex_lock_slowpath() {
 3)   6.437 us    |    }
 1)               |        __mutex_lock.isra.0() {
 3)               |  /* mutex_stop */
 1)   0.777 us    |          mutex_spin_on_owner();
 0)               |  do_syscall_64() {
 3)   0.444 us    |    mutex_unlock();
 0)   0.471 us    |    mutex_lock();
 3)   9.344 us    |  }
 1)   1.617 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_stop */
 0)   0.435 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 0)   3.456 us    |  }
 1)   4.299 us    |        }
 3)               |    mutex_lock() {
 1)   5.085 us    |      }
 3)               |      __mutex_lock_slowpath() {
 1)   5.943 us    |    }
 3)               |        __mutex_lock.isra.0() {
 1)               |  /* mutex_stop */
 0)               |  do_syscall_64() {
 3)   0.903 us    |          mutex_spin_on_owner();
 1)   0.444 us    |    mutex_unlock();
 0)   0.441 us    |    mutex_lock();
 1)   8.928 us    |  }
 3)   1.359 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 0)   0.438 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 0)   3.369 us    |  }
 3)   3.867 us    |        }
 3)   4.644 us    |      }
 1)               |    mutex_lock() {
 3)   5.484 us    |    }
 1)               |      __mutex_lock_slowpath() {
 3)               |  /* mutex_start */
 1)               |        __mutex_lock.isra.0() {
 0)               |  do_syscall_64() {
 3)   0.447 us    |    mutex_unlock();
 1)   0.462 us    |          mutex_spin_on_owner();
 0)   0.444 us    |    mutex_lock();
 3)   8.460 us    |  }
 1)   1.485 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_stop */
 0)   0.438 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 0)   3.381 us    |  }
 1)   3.576 us    |        }
 3)               |    mutex_lock() {
 1)   4.353 us    |      }
 1)   5.148 us    |    }
 3)               |      __mutex_lock_slowpath() {
 3)               |        __mutex_lock.isra.0() {
 1)               |  /* mutex_start */
 0)               |  do_syscall_64() {
 3)   0.660 us    |          mutex_spin_on_owner();
 1)   0.450 us    |    mutex_unlock();
 0)   0.444 us    |    mutex_lock();
 1)   8.124 us    |  }
 3)   2.154 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 0)   0.435 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 0)   4.014 us    |  }
 3)   4.296 us    |        }
 1)               |      __mutex_lock_slowpath() {
 3)   5.076 us    |      }
 1)               |        __mutex_lock.isra.0() {
 3)   5.880 us    |    }
 1)   1.533 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_stop */
 0)               |  do_syscall_64() {
 3)   0.435 us    |    mutex_unlock();
 0)   0.438 us    |    mutex_lock();
 3)   9.186 us    |  }
 1)   1.223 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_stop */
 0)   0.447 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 0)   3.363 us    |  }
 1)   4.328 us    |        }
 1)   5.108 us    |      }
 3)               |    mutex_lock() {
 1)   5.966 us    |    }
 3)               |      __mutex_lock_slowpath() {
 1)               |  /* mutex_stop */
 3)               |        __mutex_lock.isra.0() {
 0)               |  do_syscall_64() {
 3)   0.636 us    |          mutex_spin_on_owner();
 1)   0.447 us    |    mutex_unlock();
 0)   0.444 us    |    mutex_lock();
 1)   8.942 us    |  }
 3)   1.317 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 0)   0.432 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 0)   3.309 us    |  }
 3)   3.456 us    |        }
 3)   4.233 us    |      }
 1)               |    mutex_lock() {
 3)   5.037 us    |    }
 1)               |      __mutex_lock_slowpath() {
 3)               |  /* mutex_start */
 0)               |  do_syscall_64() {
 1)   1.248 us    |        __mutex_lock.isra.0();
 3)   0.477 us    |    mutex_unlock();
 0)               |    mutex_lock() {
 0)               |      __mutex_lock_slowpath() {
 3)   8.013 us    |  }
 1)   2.073 us    |      }
 0)               |        __mutex_lock.isra.0() {
 1)   2.874 us    |    }
 0)   1.329 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.435 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 3)               |    mutex_lock() {
 1)   5.997 us    |  }
 0)   2.499 us    |        }
 3)               |      __mutex_lock_slowpath() {
 0)   3.279 us    |      }
 3)               |        __mutex_lock.isra.0() {
 0)   4.170 us    |    }
 3)   1.524 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_stop */
 1)               |  do_syscall_64() {
 0)   0.434 us    |    mutex_unlock();
 1)   0.486 us    |    mutex_lock();
 0)   7.166 us    |  }
 3)   1.533 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 1)   0.432 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 1)   3.354 us    |  }
 3)   4.470 us    |        }
 0)               |    mutex_lock() {
 3)   5.247 us    |      }
 3)   6.108 us    |    }
 0)               |      __mutex_lock_slowpath() {
 0)               |        __mutex_lock.isra.0() {
 3)               |  /* mutex_stop */
 1)               |  do_syscall_64() {
 0)   0.651 us    |          mutex_spin_on_owner();
 3)   0.453 us    |    mutex_unlock();
 1)   0.486 us    |    mutex_lock();
 3)   8.952 us    |  }
 0)   1.479 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.438 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 1)   3.351 us    |  }
 0)   3.675 us    |        }
 3)               |    mutex_lock() {
 0)   4.458 us    |      }
 3)               |      __mutex_lock_slowpath() {
 0)   5.295 us    |    }
 3)               |        __mutex_lock.isra.0() {
 0)               |  /* mutex_start */
 3)   0.825 us    |          mutex_spin_on_owner();
 1)               |  do_syscall_64() {
 0)   0.450 us    |    mutex_unlock();
 1)   0.444 us    |    mutex_lock();
 0)   8.259 us    |  }
 3)   1.581 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 1)   0.435 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 1)   3.390 us    |  }
 3)   3.885 us    |        }
 3)   4.668 us    |      }
 0)               |    mutex_lock() {
 3)   5.472 us    |    }
 0)               |      __mutex_lock_slowpath() {
 0)               |        __mutex_lock.isra.0() {
 3)               |  /* mutex_start */
 1)               |  do_syscall_64() {
 0)   0.558 us    |          mutex_spin_on_owner();
 3)   0.450 us    |    mutex_unlock();
 1)   0.441 us    |    mutex_lock();
 3)   8.339 us    |  }
 0)   1.548 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.435 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 1)   3.423 us    |  }
 0)   3.648 us    |        }
 0)   4.431 us    |      }
 3)               |    mutex_lock() {
 0)   5.265 us    |    }
 3)               |      __mutex_lock_slowpath() {
 3)               |        __mutex_lock.isra.0() {
 0)               |  /* mutex_stop */
 1)               |  do_syscall_64() {
 3)   0.636 us    |          mutex_spin_on_owner();
 0)   0.447 us    |    mutex_unlock();
 1)               |    mutex_lock() {
 0)   8.184 us    |  }
 3)   1.791 us    |        }
 1)               |      __mutex_lock_slowpath() {
 3)   2.574 us    |      }
 1)               |        __mutex_lock.isra.0() {
 3)   3.381 us    |    }
 1)   1.518 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_stop */
 0)               |  do_syscall_64() {
 3)   0.435 us    |    mutex_unlock();
 0)   0.489 us    |    mutex_lock();
 3)   6.342 us    |  }
 1)   1.281 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 0)   0.435 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 0)   3.351 us    |  }
 1)   4.323 us    |        }
 1)   5.109 us    |      }
 3)               |    mutex_lock() {
 1)   6.018 us    |    }
 3)               |      __mutex_lock_slowpath() {
 1)               |  /* mutex_stop */
 3)               |        __mutex_lock.isra.0() {
 0)               |  do_syscall_64() {
 3)   0.591 us    |          mutex_spin_on_owner();
 1)   0.492 us    |    mutex_unlock();
 0)               |    mutex_lock() {
 1)   9.045 us    |  }
 3)   1.725 us    |        }
 0)               |      __mutex_lock_slowpath() {
 3)   2.514 us    |      }
 0)               |        __mutex_lock.isra.0() {
 3)   3.318 us    |    }
 0)   1.545 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_start */
 1)               |  do_syscall_64() {
 3)   0.435 us    |    mutex_unlock();
 1)   0.486 us    |    mutex_lock();
 3)   6.294 us    |  }
 0)   1.332 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.432 us    |    mutex_unlock();
 1)   3.330 us    |  }
 0)   4.338 us    |        }
 3)               |  do_syscall_64() {
 0)   5.115 us    |      }
 3)               |    mutex_lock() {
 0)   6.038 us    |    }
 3)               |      __mutex_lock_slowpath() {
 0)               |  /* mutex_stop */
 3)               |        __mutex_lock.isra.0() {
 1)               |  do_syscall_64() {
 0)   0.447 us    |    mutex_unlock();
 3)   0.483 us    |          mutex_spin_on_owner();
 1)   0.441 us    |    mutex_lock();
 0)   9.125 us    |  }
 3)   1.491 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 1)   0.432 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 1)   3.435 us    |  }
 3)   3.570 us    |        }
 0)               |    mutex_lock() {
 3)   4.350 us    |      }
 0)               |      __mutex_lock_slowpath() {
 3)   5.157 us    |    }
 0)               |        __mutex_lock.isra.0() {
 3)               |  /* mutex_stop */
 1)               |  do_syscall_64() {
 0)   0.750 us    |          mutex_spin_on_owner();
 3)   0.435 us    |    mutex_unlock();
 1)   0.438 us    |    mutex_lock();
 3)   8.001 us    |  }
 0)   1.572 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.437 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 1)   3.380 us    |  }
 0)   3.813 us    |        }
 3)               |    mutex_lock() {
 0)   4.596 us    |      }
 3)               |      __mutex_lock_slowpath() {
 0)   5.397 us    |    }
 3)               |        __mutex_lock.isra.0() {
 0)               |  /* mutex_start */
 3)   0.870 us    |          mutex_spin_on_owner();
 1)               |  do_syscall_64() {
 0)   0.441 us    |    mutex_unlock();
 1)   0.438 us    |    mutex_lock();
 0)   8.376 us    |  }
 3)   1.449 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 1)   0.432 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
