# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 1)   2.346 us    |    } /* mutex_lock */
 1)   3.901 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.393 us    |          mutex_spin_on_owner();
 1)   0.643 us    |          mutex_spin_on_owner();
 1)   1.746 us    |        }
 1)   2.089 us    |      }
 1)   2.433 us    |    }
 1)               |  /* mutex_stop */
 1)   0.210 us    |    mutex_unlock();
 1)   3.786 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.299 us    |          mutex_spin_on_owner();
 1)   0.599 us    |          mutex_spin_on_owner();
 1)   1.599 us    |        }
 1)   2.041 us    |      }
 1)   2.384 us    |    }
 1)               |  /* mutex_start */
 1)   0.194 us    |    mutex_unlock();
 1)   3.715 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.214 us    |          mutex_spin_on_owner();
 1)   0.633 us    |          mutex_spin_on_owner();
 1)   1.588 us    |        }
 1)   1.925 us    |      }
 1)   2.266 us    |    }
 1)               |  /* mutex_stop */
 1)   0.253 us    |    mutex_unlock();
 1)   3.643 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.334 us    |          mutex_spin_on_owner();
 1)   0.603 us    |          mutex_spin_on_owner();
 1)   1.646 us    |        }
 1)   1.980 us    |      }
 1)   2.327 us    |    }
 1)               |  /* mutex_start */
 1)   0.207 us    |    mutex_unlock();
 1)   3.637 us    |  }
 1)               |  do_syscall_64() {
 1)   0.216 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.192 us    |    mutex_unlock();
 1)   1.534 us    |  }
 1)               |  do_syscall_64() {
 1)   0.216 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.200 us    |    mutex_unlock();
 1)   1.543 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.672 us    |          mutex_spin_on_owner();
 1)   0.610 us    |          mutex_spin_on_owner();
 1)   1.937 us    |        }
 1)   2.276 us    |      }
 1)   2.661 us    |    }
 1)               |  /* mutex_stop */
 1)   0.219 us    |    mutex_unlock();
 1)   4.076 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.498 us    |          mutex_spin_on_owner();
 1)   0.698 us    |          mutex_spin_on_owner();
 1)   1.945 us    |        }
 1)   2.281 us    |      }
 1)   2.659 us    |    }
 1)               |  /* mutex_start */
 1)   0.208 us    |    mutex_unlock();
 1)   3.949 us    |  }
 1)               |  do_syscall_64() {
 1)   0.216 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.193 us    |    mutex_unlock();
 1)   1.541 us    |  }
 1)               |  do_syscall_64() {
 1)   0.222 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.208 us    |    mutex_unlock();
 1)   1.548 us    |  }
 1)               |  do_syscall_64() {
 1)   0.194 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.199 us    |    mutex_unlock();
 1)   1.476 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.191 us    |    mutex_unlock();
 1)   1.473 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.297 us    |    mutex_unlock();
 1)   1.625 us    |  }
 1)               |  do_syscall_64() {
 1)   0.202 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.199 us    |    mutex_unlock();
 1)   1.544 us    |  }
 1)               |  do_syscall_64() {
 1)   0.196 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.193 us    |    mutex_unlock();
 1)   1.553 us    |  }
 1)               |  do_syscall_64() {
 1)   0.202 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.212 us    |    mutex_unlock();
 1)   1.501 us    |  }
 1)               |  do_syscall_64() {
 1)   0.226 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.195 us    |    mutex_unlock();
 1)   1.577 us    |  }
 1)               |  do_syscall_64() {
 1)   0.196 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.194 us    |    mutex_unlock();
 1)   1.512 us    |  }
 1)               |  do_syscall_64() {
 1)   0.203 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.194 us    |    mutex_unlock();
 1)   1.472 us    |  }
 1)               |  do_syscall_64() {
 1)   0.196 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.200 us    |    mutex_unlock();
 1)   1.521 us    |  }
 1)               |  do_syscall_64() {
 1)   0.202 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.193 us    |    mutex_unlock();
 1)   1.524 us    |  }
 1)               |  do_syscall_64() {
 1)   0.196 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.207 us    |    mutex_unlock();
 1)   1.528 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.199 us    |    mutex_unlock();
 1)   1.572 us    |  }
 1)               |  do_syscall_64() {
 1)   0.202 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.209 us    |    mutex_unlock();
 1)   1.478 us    |  }
 1)               |  do_syscall_64() {
 1)   0.203 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.192 us    |    mutex_unlock();
 1)   1.511 us    |  }
 1)               |  do_syscall_64() {
 1)   0.202 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.200 us    |    mutex_unlock();
 1)   1.531 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.192 us    |    mutex_unlock();
 1)   1.471 us    |  }
 1)               |  do_syscall_64() {
 1)   0.196 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.198 us    |    mutex_unlock();
 1)   1.474 us    |  }
 1)               |  do_syscall_64() {
 1)   0.196 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.192 us    |    mutex_unlock();
 1)   1.528 us    |  }
 1)               |  do_syscall_64() {
 1)   0.194 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.198 us    |    mutex_unlock();
 1)   1.529 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.678 us    |          mutex_spin_on_owner();
 1)   0.592 us    |          mutex_spin_on_owner();
 1)   1.929 us    |        }
 1)   2.263 us    |      }
 1)   2.660 us    |    }
 1)               |  /* mutex_stop */
 1)   0.212 us    |    mutex_unlock();
 1)   4.016 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.399 us    |          mutex_spin_on_owner();
 1)   0.675 us    |          mutex_spin_on_owner();
 1)   1.777 us    |        }
 1)   2.118 us    |      }
 1)   2.499 us    |    }
 1)               |  /* mutex_start */
 1)   0.241 us    |    mutex_unlock();
 1)   3.862 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.212 us    |          mutex_spin_on_owner();
 1)   0.599 us    |          mutex_spin_on_owner();
 1)   1.548 us    |        }
 1)   1.890 us    |      }
 1)   2.231 us    |    }
 1)               |  /* mutex_stop */
 1)   0.208 us    |    mutex_unlock();
 1)   3.577 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.626 us    |          mutex_spin_on_owner();
 1)   0.533 us    |          mutex_spin_on_owner();
 1)   1.851 us    |        }
 1)   2.184 us    |      }
 1)   2.562 us    |    }
 1)               |  /* mutex_start */
 1)   0.208 us    |    mutex_unlock();
 1)   3.903 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.275 us    |          mutex_spin_on_owner();
 1)   0.571 us    |          mutex_spin_on_owner();
 1)   1.561 us    |        }
 1)   1.903 us    |      }
 1)   2.245 us    |    }
 1)               |  /* mutex_stop */
 1)   0.251 us    |    mutex_unlock();
 1)   3.559 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.458 us    |          mutex_spin_on_owner();
 1)   0.646 us    |          mutex_spin_on_owner();
 1)   1.865 us    |        }
 1)   2.200 us    |      }
 1)   2.578 us    |    }
 1)               |  /* mutex_start */
 1)   0.230 us    |    mutex_unlock();
 1)   3.878 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.301 us    |          mutex_spin_on_owner();
 1)   0.630 us    |          mutex_spin_on_owner();
 1)   1.651 us    |        }
 1)   1.992 us    |      }
 1)   2.333 us    |    }
 1)               |  /* mutex_stop */
 1)   0.201 us    |    mutex_unlock();
 1)   3.716 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.306 us    |          mutex_spin_on_owner();
 1)   0.595 us    |          mutex_spin_on_owner();
 1)   1.603 us    |        }
 1)   1.947 us    |      }
 1)   2.293 us    |    }
 1)               |  /* mutex_start */
 1)   0.202 us    |    mutex_unlock();
 1)   3.742 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.268 us    |          mutex_spin_on_owner();
 1)   0.581 us    |          mutex_spin_on_owner();
 1)   1.559 us    |        }
 1)   1.895 us    |      }
 1)   2.245 us    |    }
 1)               |  /* mutex_stop */
 1)   0.244 us    |    mutex_unlock();
 1)   3.552 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.419 us    |          mutex_spin_on_owner();
 1)   0.657 us    |          mutex_spin_on_owner();
 1)   1.787 us    |        }
 1)   2.115 us    |      }
 1)   2.495 us    |    }
 1)               |  /* mutex_start */
 1)   0.209 us    |    mutex_unlock();
 1)   3.752 us    |  }
 1)               |  do_syscall_64() {
 1)   0.237 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.199 us    |    mutex_unlock();
 1)   1.594 us    |  }
 1)               |  do_syscall_64() {
 1)   0.215 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.198 us    |    mutex_unlock();
 1)   1.529 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.201 us    |    mutex_unlock();
 1)   1.529 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.198 us    |    mutex_unlock();
 1)   1.476 us    |  }
 1)               |  do_syscall_64() {
 1)   0.193 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.191 us    |    mutex_unlock();
 1)   1.513 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.208 us    |    mutex_unlock();
 1)   1.512 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.192 us    |    mutex_unlock();
 1)   1.510 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.198 us    |    mutex_unlock();
 1)   1.473 us    |  }
 1)               |  do_syscall_64() {
 1)   0.225 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.199 us    |    mutex_unlock();
 1)   1.577 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.200 us    |    mutex_unlock();
 1)   1.509 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.588 us    |          mutex_spin_on_owner();
 1)   0.687 us    |          mutex_spin_on_owner();
 1)   1.941 us    |        }
 1)   2.281 us    |      }
 1)   2.673 us    |    }
 1)               |  /* mutex_stop */
 1)   0.239 us    |    mutex_unlock();
 1)   4.038 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.344 us    |          mutex_spin_on_owner();
 1)   0.573 us    |          mutex_spin_on_owner();
 1)   1.620 us    |        }
 1)   1.960 us    |      }
 1)   2.311 us    |    }
 1)               |  /* mutex_start */
 1)   0.217 us    |    mutex_unlock();
 1)   3.677 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.302 us    |          mutex_spin_on_owner();
 1)   0.604 us    |          mutex_spin_on_owner();
 1)   1.617 us    |        }
 1)   1.952 us    |      }
 1)   2.301 us    |    }
 1)               |  /* mutex_stop */
 1)   0.230 us    |    mutex_unlock();
 1)   3.624 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.412 us    |          mutex_spin_on_owner();
 1)   0.737 us    |          mutex_spin_on_owner();
 1)   1.858 us    |        }
 1)   2.193 us    |      }
 1)   2.569 us    |    }
 1)               |  /* mutex_start */
 1)   0.191 us    |    mutex_unlock();
 1)   3.822 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.372 us    |          mutex_spin_on_owner();
 1)   0.649 us    |          mutex_spin_on_owner();
 1)   1.738 us    |        }
 1)   2.072 us    |      }
 1)   2.420 us    |    }
 1)               |  /* mutex_stop */
 1)   0.207 us    |    mutex_unlock();
 1)   3.786 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.426 us    |          mutex_spin_on_owner();
 1)   0.546 us    |          mutex_spin_on_owner();
 1)   1.683 us    |        }
 1)   2.020 us    |      }
 1)   2.369 us    |    }
 1)               |  /* mutex_start */
 1)   0.209 us    |    mutex_unlock();
 1)   3.734 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.329 us    |          mutex_spin_on_owner();
 1)   0.591 us    |          mutex_spin_on_owner();
 1)   1.635 us    |        }
 1)   1.976 us    |      }
 1)   2.324 us    |    }
 1)               |  /* mutex_stop */
 1)   0.243 us    |    mutex_unlock();
 1)   3.638 us    |  }
 1)               |  do_syscall_64() {
 1)   0.214 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.191 us    |    mutex_unlock();
 1)   1.481 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.622 us    |          mutex_spin_on_owner();
 1)   0.614 us    |          mutex_spin_on_owner();
 1)   1.896 us    |        }
 1)   2.229 us    |      }
 1)   2.612 us    |    }
 1)               |  /* mutex_stop */
 1)   0.208 us    |    mutex_unlock();
 1)   4.088 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.370 us    |          mutex_spin_on_owner();
 1)   0.627 us    |          mutex_spin_on_owner();
 1)   1.711 us    |        }
 1)   2.047 us    |      }
 1)   2.394 us    |    }
 1)               |  /* mutex_start */
 1)   0.225 us    |    mutex_unlock();
 1)   3.752 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.271 us    |          mutex_spin_on_owner();
 1)   0.572 us    |          mutex_spin_on_owner();
 1)   1.546 us    |        }
 1)   1.888 us    |      }
 1)   2.231 us    |    }
 1)               |  /* mutex_stop */
 1)   0.214 us    |    mutex_unlock();
 1)   3.516 us    |  }
 1)               |  do_syscall_64() {
 1)   0.216 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.199 us    |    mutex_unlock();
 1)   1.495 us    |  }
 1)               |  do_syscall_64() {
 1)   0.222 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.193 us    |    mutex_unlock();
 1)   1.534 us    |  }
 1)               |  do_syscall_64() {
 1)   0.223 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.206 us    |    mutex_unlock();
 1)   1.564 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.192 us    |    mutex_unlock();
 1)   1.496 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.966 us    |          mutex_spin_on_owner();
 1)   0.666 us    |          mutex_spin_on_owner();
 1)   2.329 us    |        }
 1)   2.662 us    |      }
 1)   3.049 us    |    }
 1)               |  /* mutex_start */
 1)   0.192 us    |    mutex_unlock();
 1)   4.350 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.647 us    |          mutex_spin_on_owner();
 1)   1.103 us    |        }
 1)   1.438 us    |      }
 1)   1.832 us    |    }
 1)               |  /* mutex_stop */
 1)   0.192 us    |    mutex_unlock();
 1)   3.218 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.335 us    |          mutex_spin_on_owner();
 1)   0.689 us    |          mutex_spin_on_owner();
 1)   1.734 us    |        }
 1)   2.069 us    |      }
 1)   2.410 us    |    }
 1)               |  /* mutex_start */
 1)   0.193 us    |    mutex_unlock();
 1)   3.860 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.220 us    |          mutex_spin_on_owner();
 1)   0.654 us    |          mutex_spin_on_owner();
 1)   1.563 us    |        }
 1)   1.898 us    |      }
 1)   2.247 us    |    }
 1)               |  /* mutex_stop */
 1)   0.209 us    |    mutex_unlock();
 1)   3.598 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.219 us    |          mutex_spin_on_owner();
 1)   0.747 us    |        }
 1)   1.083 us    |      }
 1)   1.432 us    |    }
 1)               |  /* mutex_start */
 1)   0.197 us    |    mutex_unlock();
 1)   2.787 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.210 us    |          mutex_spin_on_owner();
 1)   0.725 us    |          mutex_spin_on_owner();
 1)   1.739 us    |        }
 1)   2.075 us    |      }
 1)   2.427 us    |    }
 1)               |  /* mutex_stop */
 1)   0.192 us    |    mutex_unlock();
 1)   3.704 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.356 us    |          mutex_spin_on_owner();
 1)   0.639 us    |          mutex_spin_on_owner();
 1)   1.699 us    |        }
 1)   2.043 us    |      }
 1)   2.384 us    |    }
 1)               |  /* mutex_start */
 1)   0.210 us    |    mutex_unlock();
 1)   3.690 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.388 us    |          mutex_spin_on_owner();
 1)   0.891 us    |        }
 1)   1.218 us    |      }
 1)   1.567 us    |    }
 1)               |  /* mutex_stop */
 1)   0.191 us    |    mutex_unlock();
 1)   2.905 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.301 us    |          mutex_spin_on_owner();
 1)   0.798 us    |        }
 1)   1.138 us    |      }
 1)   1.481 us    |    }
 1)               |  /* mutex_start */
 1)   0.198 us    |    mutex_unlock();
 1)   2.823 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.209 us    |          mutex_spin_on_owner();
 1)   0.717 us    |          mutex_spin_on_owner();
 1)   1.676 us    |        }
 1)   2.014 us    |      }
 1)   2.367 us    |    }
 1)               |  /* mutex_stop */
 1)   0.193 us    |    mutex_unlock();
 1)   3.656 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.361 us    |          mutex_spin_on_owner();
 1)   0.634 us    |          mutex_spin_on_owner();
 1)   1.697 us    |        }
 1)   2.039 us    |      }
 1)   2.382 us    |    }
 1)               |  /* mutex_start */
 1)   0.318 us    |    mutex_unlock();
 1)   3.790 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.207 us    |          mutex_spin_on_owner();
 1)   0.707 us    |          mutex_spin_on_owner();
 1)   1.617 us    |        }
 1)   1.951 us    |      }
 1)   2.304 us    |    }
 1)               |  /* mutex_stop */
 1)   0.199 us    |    mutex_unlock();
 1)   3.720 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.323 us    |          mutex_spin_on_owner();
 1)   0.664 us    |          mutex_spin_on_owner();
 1)   1.740 us    |        }
 1)   2.081 us    |      }
 1)   2.425 us    |    }
 1)               |  /* mutex_start */
 1)   0.208 us    |    mutex_unlock();
 1)   3.773 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.204 us    |          mutex_spin_on_owner();
 1)   0.700 us    |          mutex_spin_on_owner();
 1)   1.685 us    |        }
 1)   2.022 us    |      }
 1)   2.368 us    |    }
 1)               |  /* mutex_stop */
 1)   0.193 us    |    mutex_unlock();
 1)   3.652 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.379 us    |          mutex_spin_on_owner();
 1)   0.634 us    |          mutex_spin_on_owner();
 1)   1.717 us    |        }
 1)   2.059 us    |      }
 1)   2.398 us    |    }
 1)               |  /* mutex_start */
 1)   0.208 us    |    mutex_unlock();
 1)   3.697 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.202 us    |          mutex_spin_on_owner();
 1)   0.728 us    |        }
 1)   1.069 us    |      }
 1)   1.414 us    |    }
 1)               |  /* mutex_stop */
 1)   0.193 us    |    mutex_unlock();
 1)   2.768 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.337 us    |          mutex_spin_on_owner();
 1)   0.689 us    |          mutex_spin_on_owner();
 1)   1.686 us    |        }
 1)   2.031 us    |      }
 1)   2.373 us    |    }
 1)               |  /* mutex_start */
 1)   0.211 us    |    mutex_unlock();
 1)   3.724 us    |  }
 1)               |  do_syscall_64() {
 1)   0.215 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.192 us    |    mutex_unlock();
 1)   1.488 us    |  }
 1)               |  do_syscall_64() {
 1)   0.216 us    |    mutex_lock();
 1)               |  /* mutex_start */
