# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 3)   1.607 us    |  mutex_unlock();
 1)               |  do_syscall_64() {
 1)   0.423 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.420 us    |    mutex_unlock();
 1)   3.354 us    |  }
 1)               |  do_syscall_64() {
 1)   0.423 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.417 us    |    mutex_unlock();
 1)   3.330 us    |  }
 1)               |  do_syscall_64() {
 1)   0.423 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.417 us    |    mutex_unlock();
 1)   3.264 us    |  }
 1)               |  do_syscall_64() {
 1)   0.423 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.420 us    |    mutex_unlock();
 1)   3.231 us    |  }
 1)               |  do_syscall_64() {
 1)   0.422 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.417 us    |    mutex_unlock();
 1)   3.347 us    |  }
 1)               |  do_syscall_64() {
 1)   0.423 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.417 us    |    mutex_unlock();
 1)   3.327 us    |  }
 1)               |  do_syscall_64() {
 1)   0.423 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.417 us    |    mutex_unlock();
 1)   3.267 us    |  }
 1)               |  do_syscall_64() {
 1)   0.423 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.417 us    |    mutex_unlock();
 1)   3.231 us    |  }
 1)               |  do_syscall_64() {
 1)   0.423 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.417 us    |    mutex_unlock();
 1)   3.366 us    |  }
 1)               |  do_syscall_64() {
 1)   0.426 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.417 us    |    mutex_unlock();
 1)   3.342 us    |  }
 1)               |  do_syscall_64() {
 1)   0.423 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.948 us    |    mutex_unlock();
 1)   3.842 us    |  }
 1)               |  do_syscall_64() {
 1)   0.423 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.420 us    |    mutex_unlock();
 1)   3.402 us    |  }
 1)               |  do_syscall_64() {
 1)   0.423 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.420 us    |    mutex_unlock();
 1)   3.300 us    |  }
 1)               |  do_syscall_64() {
 1)   0.423 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.420 us    |    mutex_unlock();
 1)   3.231 us    |  }
 1)               |  do_syscall_64() {
 1)   0.423 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.426 us    |    mutex_unlock();
 1)   3.366 us    |  }
 1)               |  do_syscall_64() {
 1)   0.426 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.420 us    |    mutex_unlock();
 1)   3.345 us    |  }
 1)               |  do_syscall_64() {
 1)   0.426 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.420 us    |    mutex_unlock();
 1)   3.273 us    |  }
 1)               |  do_syscall_64() {
 1)   0.441 us    |    __mutex_init();
 1) + 13.658 us   |  }
 1)   3.618 us    |  do_syscall_64();
 1)   8.664 us    |  do_syscall_64();
 1)   1.227 us    |  do_syscall_64();
 1)   3.612 us    |  do_syscall_64();
 1) + 15.155 us   |  do_syscall_64();
 1)   3.828 us    |  do_syscall_64();
 1)   4.293 us    |  do_syscall_64();
 1)               |  do_syscall_64() {
 1)   0.459 us    |    __mutex_init();
 1)   9.989 us    |  }
 1)               |  do_syscall_64() {
 1)   0.456 us    |    mutex_lock();
 1)   0.468 us    |    mutex_unlock();
 1)   6.984 us    |  }
 1)   1.779 us    |  do_syscall_64();
 1)   6.180 us    |  do_syscall_64();
 1) + 12.648 us   |  do_syscall_64();
 1)   6.890 us    |  do_syscall_64();
 1)   6.222 us    |  do_syscall_64();
 1)   1.497 us    |  do_syscall_64();
 1)   7.853 us    |  do_syscall_64();
 1) + 18.026 us   |  do_syscall_64();
 1)               |  do_syscall_64() {
 1)               |    __x64_sys_futex() {
 1)               |      do_futex() {
 1)               |        futex_wake() {
 1)               |          get_futex_key() {
 1)   0.438 us    |            get_futex_key_refs.isra.0();
 1)   1.401 us    |          }
 1)   0.438 us    |          hash_futex();
 1)   0.414 us    |          drop_futex_key_refs.isra.0();
 1)   4.035 us    |        }
 1)   4.974 us    |      }
 1)   5.898 us    |    }
 1)   7.275 us    |  }
 1)   6.363 us    |  do_syscall_64();
 1)               |  do_syscall_64() {
 1)               |    futex_exit_release() {
 1)   0.489 us    |      mutex_lock();
 1)   0.636 us    |      futex_cleanup();
 1)   0.438 us    |      mutex_unlock();
 1)   3.867 us    |    }
 1)               |    do_futex() {
 1)               |      futex_wake() {
 1)               |        get_futex_key() {
 1)   0.438 us    |          get_futex_key_refs.isra.0();
 1)   2.216 us    |        }
 1)   0.432 us    |        hash_futex();
 1)               |        mark_wake_futex() {
 1)   0.501 us    |          __unqueue_futex();
 1)   1.548 us    |        }
 1)   0.570 us    |        drop_futex_key_refs.isra.0();
 1) + 14.306 us   |      }
 1) + 15.155 us   |    }
 1)   0.450 us    |    mutex_lock();
 1)   0.450 us    |    mutex_unlock();
 3)   0.882 us    |          drop_futex_key_refs.isra.0();
 3) * 13424.31 us |        }
 3) * 13424.95 us |      }
 3) * 13425.71 us |    }
 3) * 13427.12 us |  }
 3)               |  do_syscall_64() {
 3)   0.471 us    |    mutex_lock();
